GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-orders,com.banking.payment.orders.domain.port.in,InitiatePaymentOrderUseCase.InitiatePaymentOrderCommand,0,42,0,0,0,1,0,1,0,1
payment-orders,com.banking.payment.orders.domain.exception,PaymentOrderNotFoundException,0,11,0,0,0,4,0,2,0,2
payment-orders,com.banking.payment.orders.domain.exception,InvalidPaymentOrderException,0,9,0,0,0,4,0,2,0,2
payment-orders,com.banking.payment.orders.adapter.in.rest,PaymentOrderController,0,95,0,0,0,23,0,5,0,5
payment-orders,com.banking.payment.orders.adapter.out.persistence,PaymentOrderRepositoryAdapter,0,65,0,0,0,14,0,5,0,5
payment-orders,com.banking.payment.orders.config,BeanConfig,0,3,0,0,0,1,0,1,0,1
payment-orders,com.banking.payment.orders.config,GlobalExceptionHandler,0,134,0,0,0,36,0,8,0,8
payment-orders,com.banking.payment.orders.config,OpenApiConfig,10,9,0,0,3,4,1,2,1,2
payment-orders,com.banking.payment.orders.application.service,RetrievePaymentOrderService,0,17,0,0,0,5,0,2,0,2
payment-orders,com.banking.payment.orders.application.service,InitiatePaymentOrderService,6,73,0,0,1,24,1,4,1,4
payment-orders,com.banking.payment.orders.application.service,RetrievePaymentOrderStatusService,0,17,0,0,0,5,0,2,0,2
payment-orders,com.banking.payment.orders.domain.model,PaymentOrderProcedure,0,73,0,0,0,25,0,12,0,12
payment-orders,com.banking.payment.orders.domain.model,PaymentDetails,15,27,5,5,3,5,5,1,0,1
payment-orders,com.banking.payment.orders.domain.model,PaymentOrderStatus,0,106,0,4,0,18,0,6,0,4
payment-orders,com.banking.payment.orders.domain.model,Payee,5,17,2,2,1,3,2,1,0,1
payment-orders,com.banking.payment.orders.domain.model,Payer,5,17,2,2,1,3,2,1,0,1
payment-orders,com.banking.payment.orders.domain.model,DateInformation,10,16,3,3,2,4,3,1,0,1
payment-orders,com.banking.payment.orders.adapter.in.rest.mapper,PaymentOrderRestMapper,1,329,2,2,0,102,2,5,0,5
payment-orders,com.banking.payment.orders.adapter.out.persistence.mapper,PaymentOrderPersistenceMapper,15,186,1,1,4,54,2,3,1,3
payment-orders,com.banking.payment.orders.adapter.out.persistence.entity,PaymentOrderEntity,0,132,0,0,0,56,0,37,0,37
